Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0402_1005Metric",8.948800,21.000000,-90.000000,bottom
"C6","100nF","C_0402_1005Metric",16.548800,19.200000,180.000000,bottom
"C9","100nF","C_0402_1005Metric",11.698800,9.000000,90.000000,bottom
"C10","100nF","C_0201_0603Metric",16.548800,16.600000,180.000000,bottom
"C11","100nF","C_0201_0603Metric",3.348800,12.200000,-90.000000,bottom
"C12","100nF","C_0201_0603Metric",16.548800,17.400000,180.000000,bottom
"C14","1uF","C_0402_1005Metric",16.548800,18.200000,180.000000,bottom
"C15","100nF","C_0201_0603Metric",8.148800,17.000000,-0.000000,bottom
"C16","100nF","C_0201_0603Metric",11.748800,12.600000,90.000000,bottom
"C17","100nF","C_0201_0603Metric",8.148800,17.800000,-0.000000,bottom
"C18","100nF","C_0201_0603Metric",8.148800,12.600000,-0.000000,bottom
"C20","100nF","C_0201_0603Metric",12.148800,17.400000,-90.000000,bottom
"C21","100nF","C_0201_0603Metric",12.948800,15.400000,180.000000,bottom
"C22","100nF","C_0201_0603Metric",10.548800,17.400000,-90.000000,bottom
"C23","100nF","C_0201_0603Metric",16.948800,11.400000,90.000000,bottom
"C24","100nF","C_0201_0603Metric",8.148800,15.400000,-0.000000,bottom
"C25","100nF","C_0201_0603Metric",8.148800,13.400000,-0.000000,bottom
"C26","100nF","C_0201_0603Metric",9.348800,12.600000,90.000000,bottom
"C27","100nF","C_0201_0603Metric",10.148800,12.600000,90.000000,bottom
"C28","100nF","C_0201_0603Metric",12.948800,14.600000,180.000000,bottom
"C29","100nF","C_0201_0603Metric",12.948800,13.800000,180.000000,bottom
"C30","100nF","C_0201_0603Metric",12.948800,16.200000,180.000000,bottom
"C31","100nF","C_0201_0603Metric",12.948800,17.400000,-90.000000,bottom
"C32","100nF","C_0201_0603Metric",8.148800,16.200000,-0.000000,bottom
"C33","100nF","C_0201_0603Metric",8.148800,14.200000,-0.000000,bottom
"C34","100nF","C_0201_0603Metric",12.748800,12.800000,135.000000,bottom
"C35","100nF","C_0201_0603Metric",10.948800,12.600000,90.000000,bottom
"C37","100nF","C_0201_0603Metric",26.948800,21.600000,-0.000000,bottom
"C39","100nF","C_0201_0603Metric",26.203800,11.200000,180.000000,bottom
"C42","100nF","C_0201_0603Metric",25.648800,14.080000,-90.000000,bottom
"C43","100nF","C_0201_0603Metric",21.748800,19.600000,90.000000,bottom
"C44","100nF","C_0201_0603Metric",26.203800,12.000000,180.000000,bottom
"C45","100nF","C_0201_0603Metric",21.748800,14.000000,-90.000000,bottom
"C48","100nF","C_0201_0603Metric",23.314800,12.000000,-0.000000,bottom
"C50","100nF","C_0201_0603Metric",27.748800,12.400000,-135.000000,bottom
"C51","100nF","C_0201_0603Metric",22.948800,21.600000,-0.000000,bottom
"C52","100nF","C_0201_0603Metric",28.148800,19.600000,-90.000000,bottom
"C58","100nF","C_0201_0603Metric",13.298800,9.000000,90.000000,bottom
"C59","100nF","C_0201_0603Metric",16.548800,20.200000,180.000000,bottom
"C60","4.7uF","C_0603_1608Metric",7.748800,20.800000,-90.000000,bottom
"C61","100nF","C_0201_0603Metric",3.698800,21.000000,-90.000000,bottom
"C62","100nF","C_0201_0603Metric",26.448800,8.180000,90.000000,bottom
"C64","100nF","C_0201_0603Metric",21.748800,8.155000,90.000000,bottom
"CN1","X0802WVS-60AS-LPV01","CONN-SMD_60P-P0.80_XKB_X0802WVS-60ADS-LPV01",15.000000,26.550000,-0.000000,bottom
"CN3","X0802WVS-60AS-LPV01","CONN-SMD_60P-P0.80_XKB_X0802WVS-60ADS-LPV01",15.000000,3.450000,-0.000000,bottom
"R1","10k","R_0402_1005Metric",9.748800,17.400000,90.000000,bottom
"C1","100nF","C_0201_0603Metric",2.948800,12.200000,-90.000000,top
"C4","1uF","C_0402_1005Metric",2.148800,12.200000,-90.000000,top
