"Reference","Value","Footprint","Qty"
"C1,C7,C10,C11,C12,C15,C16,C17,C18,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C42,C43,C44,C45,C48,C49,C50,C51,C52,C53,C58,C59,C61,C62,C64","100nF","Capacitor_SMD:C_0201_0603Metric","44"
"C3,C6,C9","100nF","Capacitor_SMD:C_0402_1005Metric","3"
"C4,C13,C14","1uF","Capacitor_SMD:C_0402_1005Metric","3"
"C40,C41,C46,C47","9pF","Capacitor_SMD:C_0402_1005Metric","4"
"C60","4.7uF","Capacitor_SMD:C_0603_1608Metric","1"
"C63,C65","2.2uF","Capacitor_SMD:C_0402_1005Metric","2"
"CN1,CN3","X0802WVS-60AS-LPV01","EasyEDA_Lib:CONN-SMD_60P-P0.80_XKB_X0802WVS-60ADS-LPV01","2"
"FB1","BLM15AX102SN1D","Inductor_SMD:L_0402_1005Metric","1"
"R1","10k","Resistor_SMD:R_0402_1005Metric","1"
"R2","15.4k","Resistor_SMD:R_0402_1005Metric","1"
"R6","10.2k","Resistor_SMD:R_0402_1005Metric","1"
"RR1,RR2,RR3","0","Resistor_SMD:R_0402_1005Metric","3"
"U1","STM32H750XBH6","Package_BGA:TFBGA-265_14x14mm_Layout17x17_P0.8mm","1"
"U2","IS42S32800G-6BLI","my:BGA-90_8.0x13.0mm_Layout2x3x15_P0.8mm_0.45mm","1"
"U3,U4","W25Q64JVXGIQ","kicad_api_lib:W25Q64JVXGIQ","2"
"U5","TLV75801PDRV","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","1"
"Y1","XL7EL89CKI-111YLC-24M","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","1"
"Y2","X1A0000610006","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","1"
